Descricao,Quantidade,TotalVenda
PAPEL CREPOM ENCERADO,4.0,20.0
PAPEL CRIAT FILIP 75G,9.0,5.85
PAPEL DE SEDA ESPECIAL,7.0,7.0
PAPEL DESENHO CANSON,5.0,8.5
PAPEL ECORES 75G CRIATIV,92.0,44.0
PAPEL FOT AUTO-ADESIVO,178.0,188.0
PAPEL FOTOGRAFICO A4 150,62.0,57.4
PAPEL FOTOGRAFICO A4 180,349.0,279.2
PAPEL GLITER 180G CORES,2.0,12.0
PAPEL GLOSSY TOK 135G AD,25.0,25.0
PAPEL JANDAINHA,2.0,19.0
PAPEL JANDAINHA PESO 60,39.0,643.5
PAPEL JANDAINHA SORTIDAS,7.0,105.0
PAPEL KRAFT,122.0,186.0
PAPEL KRAFT 180G A4,50.0,14.0
PAPEL KRAFT 80G,9.0,1.8
PAPEL LAMINADO CORES,39.0,74.2
PAPEL MADEIRA,129.0,206.4
PAPEL NACARADO 70X100 FU,8.0,52.0
PAPEL PARANA VMP 80X100,40.0,392.0
PAPEL PESO 40 120KG CHAM,31.0,394.5
PAPEL PESO 40KG 120G JAN,2.0,25.0
PAPEL PESO 60 180KG CHAM,33.0,609.0
PAPEL PRESENTE SORTIDOS,56.0,84.0
PAPEL REPORT SENINHA BR,66.0,584.8
PAPEL REPORTE 500 F,153.0,4555.0
PAPEL VEGETAL CANSON,63.0,81.9
PASTA 55MM AM DAC,4.0,34.0
PASTA 55MM FU DAC,4.0,34.0
PASTA 55MM TR DAC,10.0,85.0
PASTA 55MM VD DAC,4.0,34.0
PASTA C ABA OFICIO  1602,82.0,328.0
PASTA C ABA OFICIO SOFT,21.0,84.0
PASTA C ABA OFICIO SOFT,14.0,56.0
PASTA C ABA OFICIO SOFT,30.0,119.5
PASTA C ABA OFICIO SOFT,26.0,104.0
PASTA C ABA OFICIO SOFT,42.0,168.0
PASTA C ABA OFICIO VERDE,49.0,196.0
PASTA C ABA OFICIO VERME,40.0,158.0
PASTA C FERRAGEM POLIBRA,2.0,7.6
PASTA C FERRAGEM POLIBRA,4.0,15.6
PASTA C FERRAGEM SOFT CR,6.0,23.4
PASTA CATALAGO ACB 10 S,3.0,27.0
PASTA COM ZIPER 24X18 AC,16.0,93.7
PASTA L CRISTAL 0957,92.0,137.5
TOTALIZACAO,13463.0,57216.35
PASTA L DAC,26.0,44.2
PASTA L DAC PRETA,16.0,27.2
PASTA MINI 20MM SOFT - A,3.0,12.0
PASTA MINI 20MM SOFT - C,3.0,16.0
PASTA OFICIO 18MM SOFT -,17.0,102.0
PASTA OFICIO 18MM SOFT -,22.0,132.0
PASTA OFICIO 18MM SOFT -,16.0,95.9
PASTA OFICIO 18MM SOFT -,8.0,48.0
PASTA OFICIO SOFT 18M VE,7.0,42.0
PASTA PORTA CHEQUE CRIST,4.0,76.0
PASTA PORTA CHEQUE FUME,2.0,38.0
PASTA SAFON POLIB CRIST,4.0,103.0
PASTA SOFT 30MM AZUL,2.0,13.0
PASTA SUSPENSA MARMORISA,6.0,30.0
PASTA VERMELHO 18MM,7.0,42.0
PASTA ZIP BAP 23 X 11,1.0,4.5
PERFURADOR BAZZER B6210,2.0,32.0
PINCEL ATOMICO BIC RECAR,26.0,117.0
PINCEL ATOMICO BIC RECAR,34.0,153.0
PINCEL CONDOR 473 - 10,3.0,9.9
PINCEL CONDOR 473 - 4,1.0,3.0
PLACA PACIFIC ABERTO X F,1.0,6.0
POLY MOLIN 2 0,13.0,78.0
PORT QUAD CNPJ VERT,18.0,151.2
PORT QUAD HORARIO HORIZ,7.0,58.3
PRANCHETA A4 PRENDEDOR P,15.0,165.0
PRANCHETA A5 118.0,7.0,70.0
PRANCHETA A5 22X14,1.0,11.9
PRIM HISTORIA HOMEM ARAN,2.0,13.0
PRIM TRAC PAT CANIL,4.0,12.0
PROTETOR DE DOC VEIC 85X,94.0,94.0
PROTETOR DOC 75X105,41.0,41.0
QUADRO BRANCO M.MADEIRA,4.0,171.0
REABASTECEDOR PARA MARCA,4.0,30.0
RECIBO DE ALUGUEL COM CA,12.0,42.0
RECIBO DE ALUGUEL SAO DO,8.0,30.5
TOTALIZACAO,14115.0,60397.25
REGUA CLIPS NEW 30CM,3.0,15.0
REGUA CRISTAL 30MM WALEU,49.0,73.5
REGUA CRISTAL 50MM WALEU,4.0,31.3
REGUA FLEXIVEL 20CM LEOL,3.0,10.5
REGUA ROSA FLEXIVEL,3.0,24.0
REGUA WALEU CRISTAL 20CM,8.0,12.0
ROLINHO CONDUN,1.0,7.2
ROLINHO ESP CONDOR 4CM,2.0,10.0
SAC0 METAL. 45X59,12.0,36.0
SACO MET 30X44 NATAL NIC,29.0,58.0
SACO MET 60X90 SORT,8.0,52.0
SACO METALCOR 20X29CM,17.0,13.6
SACO METALIZADO 25X37 SO,68.0,68.0
SACO PRESENTE 30X45,101.0,151.5
SACO TRANSPARENTE 15X29C,9.0,4.5
SACOLA PAP CROM GD KRAFT,1.0,3.5
SACOLA PAPEL KRAFT 12X12,5.0,10.0
SUPORTE FITA ADES JOCAR,1.0,24.0
SWEET PINK,1.0,9.0
TABUADA  E UM AMOR,17.0,36.0
TALAO CONTROLE 3 CORPOS,18.0,81.0
TEK BOND ARTESANATO 1 20,1.0,13.0
TEK BOND ARTESANATO 2 20,3.0,39.0
TEK BOND ARTESANATO 3 20,13.0,182.0
TELA 16X22,1.0,8.5
TELA 18X24 CORTI ARTE,4.0,48.0
TELA 20X20 CORTI ARTE,12.0,128.0
TELA PINT CORTIARTE 30X4,4.0,74.0
TELA SOUZA 20X40CM,1.0,16.9
TESOURA TRIS,67.0,402.0
TIN GUAC ACRILEX ABELHIN,28.0,187.1
TINTA DIMENSIONAL METALI,1.0,8.2
TINTA GUACHE 15ML ACRILE,17.0,22.1
TINTA GUACHE BAMBINE 250,24.0,144.0
TINTA NANKIN 20ML PRETA,8.0,42.5
TINTA PVA BRANCA,4.0,24.4
TINTA PVA PRETO,7.0,41.4
TINTA PVA ROSA ESCURO,2.0,12.0
TINTA QUADRO BRANCO MARK,7.0,44.1
TINTA TECIDO 37ML BRANCO,22.0,132.0
TREINANDO ESCRITA LETRAS,8.0,44.0
TRESOURA ESCOLAR MAPED 1,10.0,58.0
VALE COM CANHOTO SD,2.0,6.0
VENDE-SE TAMOIO,45.0,27.0
TOTALIZACAO,14921.0,63347.95
